,mz,ISP2_2_MR1_1|D1|9b176338-f1f4-4b97-ab07-483c98d3b21e,ISP2_2_MR1_2|D2|dd613e71-0682-4482-a1f3-7eef4a1e2a89,ISP2_2_MR1_3|D3|6ce3ad15-4880-4e70-a1f9-3cd79bfadc84,ISP2_2_MR1_4|D4|c5ab95ee-1ae7-4c8d-9d24-a8fc6285f581,ISP2_2_MR1_5|D5|7bc3e656-d008-4e41-9aa9-7bc45307b012
2135,309.2004,649.0,468.0,499.0,326.0,525.0
2136,309.2032,1298.0,936.0,998.0,652.0,1050.0
2137,309.206,1298.0,936.0,998.0,562.0,1050.0
2138,309.2087,649.0,468.0,499.0,281.0,525.0
2139,309.231,512.0,450.0,504.0,437.0,487.0
2140,309.2337,1536.0,1350.0,1512.0,1311.0,1461.0
2141,309.2365,512.0,450.0,504.0,437.0,487.0
2142,310.029,1920.0,2980.0,0.0,3008.0,1764.0
2143,310.1236,868.0,428.0,267.0,276.0,276.0
2144,310.1264,868.0,428.0,267.0,276.0,276.0
2145,310.132,868.0,428.0,258.0,276.0,276.0
2146,310.1348,868.0,428.0,258.0,276.0,276.0
2147,310.1459,868.0,787.0,445.0,393.0,276.0
2148,310.1487,868.0,787.0,445.0,393.0,276.0
2149,310.157,868.0,787.0,518.0,393.0,586.0
2150,310.1598,1736.0,1574.0,1036.0,786.0,1172.0
2151,310.1626,1736.0,1154.0,1036.0,786.0,1172.0
2152,310.1682,868.0,577.0,518.0,393.0,586.0
2153,310.1793,1180.0,804.0,674.0,683.0,697.0
2154,310.1821,2360.0,1608.0,1348.0,1366.0,1394.0
2155,310.1849,1180.0,804.0,674.0,683.0,697.0
2156,310.1877,1180.0,804.0,528.0,683.0,697.0
2157,310.1904,1105.0,804.0,528.0,683.0,697.0
2158,310.196,1105.0,804.0,528.0,683.0,697.0
2159,310.2016,1105.0,804.0,444.0,683.0,697.0
2160,310.2155,900.0,1608.0,690.0,552.0,1394.0
2161,310.235,450.0,0.0,345.0,276.0,0.0
2162,311.118,4449.0,6564.0,2493.0,6807.0,5274.0
2163,311.1207,2966.0,4376.0,1662.0,4538.0,3516.0
2164,311.143,759.0,801.0,725.0,702.0,618.0
2165,311.1458,2277.0,2403.0,2175.0,2106.0,1854.0
2166,311.1486,759.0,801.0,725.0,702.0,618.0
2167,311.157,600.0,619.0,513.0,340.0,403.0
2168,311.1598,600.0,619.0,513.0,340.0,403.0
2169,311.1626,600.0,619.0,513.0,331.0,405.0
2170,311.1653,1800.0,1857.0,1539.0,993.0,1215.0
